title,year_range,link
Actualidades Paramount,1935-1936,http://repositori.filmoteca.cat/handle/11091/27252
Año Metro,1932,http://repositori.filmoteca.cat/handle/11091/27254
Antorcha,1935 - 1936,http://repositori.filmoteca.cat/handle/11091/27255
Art de la Llum,1933-1935,http://repositori.filmoteca.cat/handle/11091/11703
Arte y cinematografía,1910-1936,http://repositori.filmoteca.cat/handle/11091/8835
Boletín de información cinematográfica,1922-1926,http://repositori.filmoteca.cat/handle/11091/11606
Boletin  técnico-administrativo de la Asociación Mutual de Operadores de cine de Cataluña,1935-1936,http://repositori.filmoteca.cat/handle/11091/11697
Cine : revista popular ilustrada,1912-1923,http://repositori.filmoteca.cat/handle/11091/11654
Cine Art: la moderna revista de cinematografia,1933-1935,http://repositori.filmoteca.cat/handle/11091/11699
Cine Arte,1934-1935,http://repositori.filmoteca.cat/handle/11091/9656
Cine Experimental,1944-1946,http://repositori.filmoteca.cat/handle/11091/18174
Cinema : edición popular,1916,http://repositori.filmoteca.cat/handle/11091/23433
Cinema : revista semanal ilustrada,1921,http://repositori.filmoteca.cat/handle/11091/27257
Cinema Amateur,1932-1936,http://repositori.filmoteca.cat/handle/11091/9657
Cine Popular,1921-1924,http://repositori.filmoteca.cat/handle/11091/9763
Cine-Revista,1921-1924,http://repositori.filmoteca.cat/handle/11091/9762
Cine-Star : magazine mensual cinematográfico,1935-1936,http://repositori.filmoteca.cat/handle/11091/27256
Cinòpolis: la revista humorística de cinema,1929,http://repositori.filmoteca.cat/handle/11091/11698
Cri-cri cinematográfico,1923,http://repositori.filmoteca.cat/handle/11091/27258
España teatral cinematografica,1921-1922,http://repositori.filmoteca.cat/handle/11091/11700
Fantasio : revista de espectáculos,1927,http://repositori.filmoteca.cat/handle/11091/24316
Filmopolis,1933-1936,http://repositori.filmoteca.cat/handle/11091/11701
Films,1926-1928,http://repositori.filmoteca.cat/handle/11091/27259
Films selectos,1930-1937,http://repositori.filmoteca.cat/handle/11091/9764
Información cinematográfica : revista profesional,unknown,http://repositori.filmoteca.cat/handle/11091/21549
Jueves cinematográficos,1927-1936,http://repositori.filmoteca.cat/handle/11091/11702
Mundo cinematográfico,1913-1921,http://repositori.filmoteca.cat/handle/11091/9760
Mundo cinematográfico. Edición popular,1917-1921,http://repositori.filmoteca.cat/handle/11091/9761
Nº1 : revista mensual cinematográfica,1936,http://repositori.filmoteca.cat/handle/11091/27261
Noticiario CIFESA,1935-[1964],http://repositori.filmoteca.cat/handle/11091/23478
Nuestro cinema,1932-1935,http://repositori.filmoteca.cat/handle/11091/9658
Nuevo cinema,1937-1938,http://repositori.filmoteca.cat/handle/11091/27260
Orientaciones,1935-1936,http://repositori.filmoteca.cat/handle/11091/27262
Otro cine,1952-1975,http://repositori.filmoteca.cat/handle/11091/11704
Pathé-Revista,1917-1919,http://repositori.filmoteca.cat/handle/11091/17490
Película,1915-1916,http://repositori.filmoteca.cat/handle/11091/9659
Películas : revista ilustrada de cinematografía,1924,http://repositori.filmoteca.cat/handle/11091/27263
Popular Film,1926-1937,http://repositori.filmoteca.cat/handle/11091/8836
Progreso fotografico,1920-1936,http://repositori.filmoteca.cat/handle/11091/11705
Proyector,1935-1936,http://repositori.filmoteca.cat/handle/11091/9655
Publi-Cinema,1934-[1936],http://repositori.filmoteca.cat/handle/11091/23442
Revista Gaumont,[1913],http://repositori.filmoteca.cat/handle/11091/11568
Rugido del león,1935-1956,http://repositori.filmoteca.cat/handle/11091/27264
Sombras,1939-1941,http://repositori.filmoteca.cat/handle/11091/23437
Studio-Films,1916,http://repositori.filmoteca.cat/handle/11091/11431
Titán Radio,1935-1936,http://repositori.filmoteca.cat/handle/11091/27265
Tras la pantalla,1920-1922,http://repositori.filmoteca.cat/handle/11091/27334
Vida gráfica,1915-1920,http://repositori.filmoteca.cat/handle/11091/27335
Zine shock. Revista de cine oscuro y brutal,1991-1995,http://repositori.filmoteca.cat/handle/11091/23368
