titolo,anni
Al cinema: settimanale di cinematografia e varietà,"1922, 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1930"
Al cinema: settimanale di cinematografie e varietà,"1926, 1927"
Apollon,"1916, 1920, 1921, non conosciuto"
Bollettino di informazioni cinematografiche,"1924, 1925"
Bollettino edizioni Pittaluga,"1928, 1929"
Bollettino staffetta dell'Ufficio stampa della anonima pittaluga,1929
Bollettino staffetta dell'ufficio stampa della anonima pittaluga,"1929, 1930, 1931"
Cin [Battaglie cinematografiche],1918
Cin [Cine-gazzetta],1918
Cine,1917
Cine Mondo: rivista quindicinale illustrata di cinema,"1927, 1928, 1929, 1930, 1931"
Cine Mondo: rivista quindicinale illustrata di cinema ,1930
Cine gazzettino,"1926, 1927, 1928, 1929, 1930, 1931"
Cine sorriso illustrato,"1928, 1929, 1930, 1931"
Cine-cinema,"1926, 1927"
Cine-romanzo,"1929, 1930, 1931, 1932"
Cinema Ambrosio,"1916, 1925"
Cinema [Firenze],1923
Cinema [Napoli],"1913, 1914"
Cinema illustrato,1928
Cinema-star,"1926, 1927"
Cinema-teatro,"1928, 1929, 1930"
Cinemagraf,"1916, 1917"
Cinemalia,"1927, 1928"
Cinematografia e proiezioni A. Ambrosio,non conosciuto
Cinematografo [Roma],"1927, 1928, 1929, 1930, 1931"
Cinematografo [Trieste],1924
Cinemundus,1919
Coltura cinematografica,"1920, 1921"
Contropelo,"1917, 1918, 1919, 1920, 1923"
Corriere del cinematografo,1921
Cronache d’attualità,"1916, 1919, 1921, 1922"
Cyrano,1913
Echi del cinema,1926
Eco film: periodico quindicinale cinematografico,1913
Excelsior,1916
Fantasma [Napoli / Roma],"1916, 1920, 1923"
Fantasma [Roma],1920
Fiandreide,1908
Figure mute: rivista cinematografica,1919
Film,"1914, 1915, 1916, 1917, 1918, 1919, 1920, 1926, 1927"
Film Pittaluga,1925
Films Pittaluga,"1923, 1924, 1925, 1926"
Films Pittaluga: rivista di notizie cinematografiche: pubblicazione quindicinale ,1923
Firenze cinema,1928
Fortunio,1920
Il Maggese cinematografico,"1913, 1914"
Il Maggese cinematografico: periodico quindicinale,"1913, 1914, 1915"
Il café-chantant,"1911, 1913, 1916, 1917, 1918, 1920"
Il capolavoro cinematografico,1926
Il cinema illustrato,1917
Il cinema italiano,"1926, 1927, 1930"
Il cinematografo,1919
Il corriere cinematografico,"1925, 1926, 1927, 1928, 1929, 1930"
Il fascio di luce,1928
Il maggese cinematografico,"1913, 1914, 1915"
Il mondo a lo schermo,1926
Il romanzo film,"1920, 1921"
Il tirso,1914
Il tirso al cinematografo,"1915, 1916"
In penombra,"1918, 1919"
Iride,1914
Kinema,"1929, 1930"
Kines,"1928, 1929, 1930, 1931"
L'Italia e Kines,1926
L'albo della cinematografia,1915
L'argante,"1913, 1914, 1915, 1916, 1930, 1931, 1932"
L'arte cinegrafica,"1918, 1919"
L'arte cinema-drammatica,1913
L'arte del cinema,"1928, 1929"
L'arte del silenzio,1922
L'arte muta,"1916, 1917, non conosciuto (c. 1916), non conosciuto (c. 1918)"
L'eco del cinema,"1924, 1925, 1926, 1927, 1928, 1929, 1930"
L'illustrazione cinematografica,"1912, 1914, 1915"
La bottega delle ombre,1926
La casa di vetro,1924
La cine-fono e la rivista fono-cinematografica,"1911, 1912, 1913, 1914, 1916, 1918, 1919, 1920, 1922"
La cine-gazzetta,"1916, 1917, 1918"
La cinematografia,"1927, 1928"
La cinematografia artistica,1912
La cinematografia italiana,1909
La cinematografia italiana ed estera,"1910, 1914, 1915, 1916, 1922, 1923"
La conquista cinematografica,1921
La decima musa,1920
La domenica del cinema,1929
La rivista cinematografica,"1920, 1921, 1922, 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1930"
La settima arte,"1924, 1925, 1926, 1927, 1928, 1929, 1930, 1931, non conosciuto (c. 1926)"
La tecnica cinematografica,1914
La vita cinematografica,"1911, 1912, 1913, 1914, 1915, 1917, 1918, 1919, 1920, 1921, 1922, 1923, 1924, 1929, 1930"
Lo schermo,"1926, 1927"
Lo spettacolo,"1919, 1920"
Lux [Napoli],"1909, 1910"
Lux [Roma],"1918, 1920, 1921"
Lux e cine,"1910, 1911"
Maggese cinematografico: periodico quindicinale,1914
Mirabilia film,1927
Motofilm,"1916, 1917"
Pathé-baby,"1928, 1929, 1930"
Penombra,"1917, 1918"
Proiezioni luminose,"1924, 1925, 1926"
Rassegna delle programmazioni,"1925, 1926"
Rassegna fotografica,1927
Rassegna generale della cinematografia,"1920, 1921"
Rivista internazionale del cinema educatore,"1929, 1930"
Società Anonima Ambrosio,1907
Sor Capanna,1919
Sullo schermo,"1927, 1928"
Supercinema,"1927, 1928"
Theatralia,1925
Triumphilm,"1912, 1914"
