title,volume,year,url
Kinema,9,1919,https://www.e-periodica.ch/digbib/view?pid=kin-001:1919:9
Kinema,8,1918,https://www.e-periodica.ch/digbib/view?pid=kin-001:1918:8
Kinema,7,1917,https://www.e-periodica.ch/digbib/view?pid=kin-001:1917:7
Kinema,6,1916,https://www.e-periodica.ch/digbib/view?pid=kin-001:1916:6
Kinema,5,1915,https://www.e-periodica.ch/digbib/view?pid=kin-001:1915:5
Kinema,4,1914,https://www.e-periodica.ch/digbib/view?pid=kin-001:1914:4
Kinema,3,1913,https://www.e-periodica.ch/digbib/view?pid=kin-001:1913:3
Zappelnde Leinwand : eine Wochenschrift fürs Kinopublikum,,1924,https://www.e-periodica.ch/digbib/view?pid=ifz-001:1924:0
Zappelnde Leinwand : eine Wochenschrift fürs Kinopublikum,,1923,https://www.e-periodica.ch/digbib/view?pid=ifz-001:1923:0
Zappelnde Leinwand : eine Wochenschrift fürs Kinopublikum,,1922,https://www.e-periodica.ch/digbib/view?pid=ifz-001:1922:0
Zappelnde Leinwand : eine Wochenschrift fürs Kinopublikum,,1921,https://www.e-periodica.ch/digbib/view?pid=ifz-001:1921:0
Zappelnde Leinwand : eine Wochenschrift fürs Kinopublikum,,1920,https://www.e-periodica.ch/digbib/view?pid=ifz-001:1920:0
"Schweizer illustrierte Filmwoche : der ""Zappelnden Leinwand""",7,1926,https://www.e-periodica.ch/digbib/view?pid=ifz-002:1926:7
"Schweizer illustrierte Filmwoche : der ""Zappelnden Leinwand""",6,1925,https://www.e-periodica.ch/digbib/view?pid=ifz-002:1925:6
"Schweizer illustrierte Filmwoche : der ""Zappelnden Leinwand""",5,1924,https://www.e-periodica.ch/digbib/view?pid=ifz-002:1924:5
"Illustrierte Filmwoche : der ""Zappelnden Leinwand""",7,1926,https://www.e-periodica.ch/digbib/view?pid=ifz-003:1926:0
L'écran illustré : hebdomadaire paraissant tous les jeudis à Lausanne et Genève,4,1927,https://www.e-periodica.ch/digbib/view?pid=eil-001:1927:4
L'écran illustré : hebdomadaire paraissant tous les jeudis à Lausanne et Genève,3,1926,https://www.e-periodica.ch/digbib/view?pid=eil-001:1926:3
L'écran illustré : hebdomadaire paraissant tous les jeudis à Lausanne et Genève,2,1925,https://www.e-periodica.ch/digbib/view?pid=eil-001:1925:2
L'écran illustré : hebdomadaire paraissant tous les jeudis à Lausanne et Genève,1,1924,https://www.e-periodica.ch/digbib/view?pid=eil-001:1924:1
L'effort cinégraphique suisse = Schweizer Filmkurier,,1933,https://www.e-periodica.ch/digbib/view?pid=kif-001:1933:0
L'effort cinégraphique suisse = Schweizer Filmkurier,,1932,https://www.e-periodica.ch/digbib/view?pid=kif-001:1932:0
L'effort cinégraphique suisse = Schweizer Filmkurier,,1931,https://www.e-periodica.ch/digbib/view?pid=kif-001:1931:0
L'effort cinégraphique suisse = Schweizer Filmkurier,,1930,https://www.e-periodica.ch/digbib/view?pid=kif-001:1930:0
"Schweizer Film = Film Suisse : offizielles Organ des Schweiz. Lichtspieltheater-Verbandes, deutsche und italienische Schweiz",9,1944,https://www.e-periodica.ch/digbib/view?pid=kif-002:1944:9
"Schweizer Film = Film Suisse : offizielles Organ des Schweiz. Lichtspieltheater-Verbandes, deutsche und italienische Schweiz",8,1943,https://www.e-periodica.ch/digbib/view?pid=kif-002:1943:8
"Schweizer Film = Film Suisse : offizielles Organ des Schweiz. Lichtspieltheater-Verbandes, deutsche und italienische Schweiz",7,1941,https://www.e-periodica.ch/digbib/view?pid=kif-002:1941:7
"Schweizer Film = Film Suisse : offizielles Organ des Schweiz. Lichtspieltheater-Verbandes, deutsche und italienische Schweiz",6,1940,https://www.e-periodica.ch/digbib/view?pid=kif-002:1940:6
"Schweizer Film = Film Suisse : offizielles Organ des Schweiz. Lichtspieltheater-Verbandes, deutsche und italienische Schweiz",5,1939,https://www.e-periodica.ch/digbib/view?pid=kif-002:1939:5
"Schweizer Film = Film Suisse : offizielles Organ des Schweiz. Lichtspieltheater-Verbandes, deutsche und italienische Schweiz",4,1938,https://www.e-periodica.ch/digbib/view?pid=kif-002:1938:4
"Schweizer Film = Film Suisse : offizielles Organ des Schweiz. Lichtspieltheater-Verbandes, deutsche und italienische Schweiz",3,1937,https://www.e-periodica.ch/digbib/view?pid=kif-002:1937:3
"Schweizer Film = Film Suisse : offizielles Organ des Schweiz. Lichtspieltheater-Verbandes, deutsche und italienische Schweiz",,1936,https://www.e-periodica.ch/digbib/view?pid=kif-002:1936:0
"Schweizer Film = Film Suisse : offizielles Organ des Schweiz. Lichtspieltheater-Verbandes, deutsche und italienische Schweiz",,1935,https://www.e-periodica.ch/digbib/view?pid=kif-002:1935:0
"Schweizer Film = Film Suisse : offizielles Organ des Schweiz. Lichtspieltheater-Verbandes, deutsche und italienische Schweiz",,1934,https://www.e-periodica.ch/digbib/view?pid=kif-002:1934:0
